id,description,water,energy,protein,lipid,ash,carbohydrate,fiber,sugar,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,manganese,selenium,vitamin_C,thiamin,riboflavin,niacin,panto_acid,vitamin_B6,food_folate,choline,vit_B12,vit_A,vit_A_RAE,retinol,alpha_carot,beta_carot,beta_crypt,lycopene,vitamin_E,vit_D,vit_D_IU,vit_K,fat_sat,fat_mono,fat_poly,cholestrl
1001,"BUTTER,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.02,2,24,24,643,0.09,0,0,1,0,0.005,0.034,0.042,0.11,0.003,3,18.8,0.17,2499,684,671,0,158,0,0,2.32,1.5,60,7,51.368,21.021,3.043,215
1002,"BUTTER,WHIPPED,WITH SALT",15.87,717,0.85,81.11,2.11,0.06,0,0.06,24,0.16,2,23,26,659,0.05,0.016,0.004,1,0,0.005,0.034,0.042,0.11,0.003,3,18.8,0.13,2499,684,671,0,158,0,0,2.32,1.5,60,7,50.489,23.426,3.012,219
1003,"BUTTER OIL,ANHYDROUS",0.24,876,0.28,99.48,0,0,0,0,4,0,0,3,5,2,0.01,0.001,0,0,0,0.001,0.005,0.003,0.01,0.001,0,22.3,0.01,3069,840,824,0,193,0,0,2.8,1.8,73,8.6,61.924,28.732,3.694,256
1004,"CHEESE,BLUE",42.41,353,21.4,28.74,5.11,2.34,0,0.5,528,0.31,23,387,256,1146,2.66,0.04,0.009,14.5,0,0.029,0.382,1.016,1.729,0.166,36,15.4,1.22,721,198,192,0,74,0,0,0.25,0.5,21,2.4,18.669,7.778,0.8,75
1005,"CHEESE,BRICK",41.11,371,23.24,29.68,3.18,2.79,0,0.51,674,0.43,24,451,136,560,2.6,0.024,0.012,14.5,0,0.014,0.351,0.118,0.288,0.065,20,15.4,1.26,1080,292,286,0,76,0,0,0.26,0.5,22,2.5,18.764,8.598,0.784,94
1006,"CHEESE,BRIE",48.42,334,20.75,27.68,2.7,0.45,0,0.45,184,0.5,20,188,152,629,2.38,0.019,0.034,14.5,0,0.07,0.52,0.38,0.69,0.235,65,15.4,1.65,592,174,173,0,9,0,0,0.24,0.5,20,2.3,17.41,8.013,0.826,100
1007,"CHEESE,CAMEMBERT",51.8,300,19.8,24.26,3.68,0.46,0,0.46,388,0.33,20,347,187,842,2.38,0.021,0.038,14.5,0,0.028,0.488,0.63,1.364,0.227,62,15.4,1.3,820,241,240,0,12,0,0,0.21,0.4,18,2,15.259,7.023,0.724,72
1008,"CHEESE,CARAWAY",39.28,376,25.18,29.2,3.28,3.06,0,No Value,673,0.64,22,490,93,690,2.94,0.024,0.021,14.5,0,0.031,0.45,0.18,0.19,0.074,18,No Value,0.27,1054,271,262,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,18.584,8.275,0.83,93
1009,"CHEESE,CHEDDAR",37.1,406,24.04,33.82,3.71,1.33,0,0.28,675,0.16,27,473,76,644,3.43,0.056,0.033,28.3,0,0.027,0.434,0.039,0.481,0.049,26,16.5,0.88,994,263,256,0,85,0,0,0.78,0.6,24,2.9,19.368,8.428,1.433,102
1010,"CHEESE,CHESHIRE",37.65,387,23.37,30.6,3.6,4.78,0,No Value,643,0.21,21,464,95,700,2.79,0.042,0.012,14.5,0,0.046,0.293,0.08,0.413,0.074,18,No Value,0.83,985,233,220,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,19.475,8.671,0.87,103